retrieval_query_id,case_id,fixture_snapshot_id,query
RQ-CORE-037,CASE-CORE-037,FIX-001,Apollo Summit 발표 자료 핵심 정리 처리에 필요한 근거를 찾는다.
RQ-CORE-038,CASE-CORE-038,FIX-002,Greenline Proposal 제안서 후속 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-039,CASE-CORE-039,FIX-003,Lattice Enablement 교육 세션 메일 점검 처리에 필요한 근거를 찾는다.
RQ-CORE-040,CASE-CORE-040,FIX-004,Helios Board 이사회 조정 메일 검토 처리에 필요한 근거를 찾는다.
RQ-CORE-041,CASE-CORE-041,FIX-005,Nimbus Onboarding 온보딩 요청 메일 검토 처리에 필요한 근거를 찾는다.
RQ-CORE-042,CASE-CORE-042,FIX-006,Redwood Security Review 보안 검토 메일 점검 처리에 필요한 근거를 찾는다.
RQ-CORE-043,CASE-CORE-043,FIX-007,Berlin Expansion 해외 일정 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-044,CASE-CORE-044,FIX-008,Recovery Runbook 복구 요청 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-045,CASE-CORE-045,FIX-009,Vendor Normalization 정규화 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-046,CASE-CORE-046,FIX-001,Apollo Summit 발표 자료 핵심 정리 처리에 필요한 근거를 찾는다.
RQ-CORE-047,CASE-CORE-047,FIX-002,Greenline Proposal 제안서 후속 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-048,CASE-CORE-048,FIX-003,Lattice Enablement 교육 세션 메일 점검 처리에 필요한 근거를 찾는다.
RQ-CORE-049,CASE-CORE-049,FIX-004,Helios Board 이사회 조정 메일 검토 처리에 필요한 근거를 찾는다.
RQ-CORE-050,CASE-CORE-050,FIX-005,Nimbus Onboarding 온보딩 요청 메일 검토 처리에 필요한 근거를 찾는다.
RQ-CORE-051,CASE-CORE-051,FIX-006,Redwood Security Review 보안 검토 메일 점검 처리에 필요한 근거를 찾는다.
RQ-CORE-052,CASE-CORE-052,FIX-007,Berlin Expansion 해외 일정 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-053,CASE-CORE-053,FIX-008,Recovery Runbook 복구 요청 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-054,CASE-CORE-054,FIX-009,Vendor Normalization 정규화 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-055,CASE-CORE-055,FIX-001,Apollo Summit 발표 자료 핵심 정리 처리에 필요한 근거를 찾는다.
RQ-CORE-056,CASE-CORE-056,FIX-002,Greenline Proposal 제안서 후속 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-057,CASE-CORE-057,FIX-003,Lattice Enablement 교육 세션 메일 점검 처리에 필요한 근거를 찾는다.
RQ-CORE-058,CASE-CORE-058,FIX-004,Helios Board 이사회 조정 메일 검토 처리에 필요한 근거를 찾는다.
RQ-CORE-059,CASE-CORE-059,FIX-005,Nimbus Onboarding 온보딩 요청 메일 검토 처리에 필요한 근거를 찾는다.
RQ-CORE-060,CASE-CORE-060,FIX-006,Redwood Security Review 보안 검토 메일 점검 처리에 필요한 근거를 찾는다.
RQ-HOLDOUT-001,CASE-HOLDOUT-001,FIX-010,Atlas Client Review 리뷰 메일 점검 처리에 필요한 근거를 찾는다.
RQ-HOLDOUT-002,CASE-HOLDOUT-002,FIX-011,Pine Reschedule 부재중 메일 점검 처리에 필요한 근거를 찾는다.
RQ-HOLDOUT-003,CASE-HOLDOUT-003,FIX-010,Atlas Client Review 리뷰 메일 점검 처리에 필요한 근거를 찾는다.
RQ-HOLDOUT-004,CASE-HOLDOUT-004,FIX-011,Pine Reschedule 부재중 메일 점검 처리에 필요한 근거를 찾는다.
RQ-HOLDOUT-005,CASE-HOLDOUT-005,FIX-010,Atlas Client Review 리뷰 메일 점검 처리에 필요한 근거를 찾는다.
RQ-HOLDOUT-006,CASE-HOLDOUT-006,FIX-011,Pine Reschedule 부재중 메일 점검 처리에 필요한 근거를 찾는다.
RQ-HOLDOUT-007,CASE-HOLDOUT-007,FIX-010,Atlas Client Review 리뷰 메일 점검 처리에 필요한 근거를 찾는다.
RQ-HOLDOUT-008,CASE-HOLDOUT-008,FIX-011,Pine Reschedule 부재중 메일 점검 처리에 필요한 근거를 찾는다.
RQ-HOLDOUT-009,CASE-HOLDOUT-009,FIX-010,Atlas Client Review 리뷰 메일 점검 처리에 필요한 근거를 찾는다.
RQ-HOLDOUT-010,CASE-HOLDOUT-010,FIX-011,Pine Reschedule 부재중 메일 점검 처리에 필요한 근거를 찾는다.
RQ-HOLDOUT-011,CASE-HOLDOUT-011,FIX-010,Atlas Client Review 리뷰 메일 점검 처리에 필요한 근거를 찾는다.
RQ-HOLDOUT-012,CASE-HOLDOUT-012,FIX-011,Pine Reschedule 부재중 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-001,CASE-STRESS-001,FIX-012,Procurement Burst 대량 요청 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-002,CASE-STRESS-002,FIX-013,Workspace Transfer 권한 문제 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-003,CASE-STRESS-003,FIX-014,Launch Week Collision 런치 주간 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-004,CASE-STRESS-004,FIX-012,Procurement Burst 대량 요청 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-005,CASE-STRESS-005,FIX-013,Workspace Transfer 권한 문제 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-006,CASE-STRESS-006,FIX-014,Launch Week Collision 런치 주간 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-007,CASE-STRESS-007,FIX-012,Procurement Burst 대량 요청 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-008,CASE-STRESS-008,FIX-013,Workspace Transfer 권한 문제 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-009,CASE-STRESS-009,FIX-014,Launch Week Collision 런치 주간 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-010,CASE-STRESS-010,FIX-012,Procurement Burst 대량 요청 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-011,CASE-STRESS-011,FIX-013,Workspace Transfer 권한 문제 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-012,CASE-STRESS-012,FIX-014,Launch Week Collision 런치 주간 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-013,CASE-STRESS-013,FIX-012,Procurement Burst 대량 요청 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-014,CASE-STRESS-014,FIX-013,Workspace Transfer 권한 문제 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-015,CASE-STRESS-015,FIX-014,Launch Week Collision 런치 주간 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-016,CASE-STRESS-016,FIX-012,Procurement Burst 대량 요청 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-017,CASE-STRESS-017,FIX-013,Workspace Transfer 권한 문제 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-018,CASE-STRESS-018,FIX-014,Launch Week Collision 런치 주간 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-019,CASE-STRESS-019,FIX-012,Procurement Burst 대량 요청 메일 점검 처리에 필요한 근거를 찾는다.
RQ-STRESS-020,CASE-STRESS-020,FIX-013,Workspace Transfer 권한 문제 메일 점검 처리에 필요한 근거를 찾는다.
