target_agent,failure_reason_code,minimum_dev_items,minimum_holdout_items,status,notes
context_retriever,CTX_STALE_EVIDENCE_SELECTED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
context_retriever,CTX_CONFLICT_NOT_REPORTED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
context_retriever,CTX_LOW_CONFIDENCE_AUTO_SELECTED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
context_retriever,CTX_PROMPT_INJECTION_FOLLOWED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
context_retriever,CTX_TOKEN_BUDGET_EXCEEDED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
context_retriever,CTX_SUFFICIENCY_WRONG,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
work_analysis,SCHEMA_INVALID_JSON,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
work_analysis,SCHEMA_REQUIRED_FIELD_MISSING,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
work_analysis,SCHEMA_INVALID_ENUM,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
work_analysis,SCHEMA_WRONG_TYPE,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
work_analysis,SCHEMA_UNSUPPORTED_FIELD,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
work_analysis,SCHEMA_VERSION_MISMATCH,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
work_analysis,ANALYSIS_UNSUPPORTED_INFERENCE,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
work_analysis,ANALYSIS_RELATION_MISSING,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
work_analysis,ANALYSIS_CONFLICT_MISHANDLED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
work_analysis,ANALYSIS_DUPLICATE_MISCLASSIFIED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
work_analysis,ANALYSIS_SCHEDULE_RISK_MISCLASSIFIED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
work_analysis,ANALYSIS_NEEDS_MORE_DATA_MISSED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
planning,SCHEMA_INVALID_JSON,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
planning,SCHEMA_REQUIRED_FIELD_MISSING,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
planning,SCHEMA_INVALID_ENUM,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
planning,SCHEMA_WRONG_TYPE,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
planning,SCHEMA_UNSUPPORTED_FIELD,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
planning,SCHEMA_VERSION_MISMATCH,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
planning,PLAN_REQUIRED_ACTION_MISSING,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
planning,PLAN_EXCESS_ACTION,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
planning,PLAN_WRONG_TOOL,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
planning,PLAN_WRONG_EFFECT_TYPE,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
planning,PLAN_WRONG_TARGET,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
planning,PLAN_REQUIRED_EVIDENCE_MISSING,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
planning,PLAN_DEPENDENCY_INVALID,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
planning,PLAN_ARGUMENT_CONSTRAINT_VIOLATION,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
planning,PLAN_USER_SCOPE_VIOLATION,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
planning,PLAN_POLICY_RISK,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
planning,PLAN_ANSWER_ONLY_MISROUTED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
review,SCHEMA_INVALID_JSON,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
review,SCHEMA_REQUIRED_FIELD_MISSING,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
review,SCHEMA_INVALID_ENUM,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
review,SCHEMA_WRONG_TYPE,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
review,SCHEMA_UNSUPPORTED_FIELD,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
review,SCHEMA_VERSION_MISMATCH,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
review,REVIEW_FALSE_PASS,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
review,REVIEW_FALSE_BLOCK,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
review,REVIEW_WRONG_ROUTE,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
review,REVIEW_ERROR_NOT_LOCALIZED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
review,REVIEW_REPEATED_SAME_FAILURE,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
