requirement_id,lane,capability_area,canonical_source,canonical_locator,canonical_requirement,final_production_owner_path,final_production_owner_symbol,final_actual_caller_path,final_actual_caller_symbol,final_runtime_binding,final_persistence_or_effect,final_api_or_frontend_destination,final_test_path,final_test_target_or_assertion,pre_remediation_disposition,pre_remediation_finding_ids,remediation_commit,final_disposition,non_blocking_debt,notes
A-FUNC-011,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-011@147-153,FN-011 요청 범위 제한.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-012,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-012@154-164,FN-012 실행 취소.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx;tests/e2e/test_langgraph_real_production.py,"actual API consumers, terminal refresh, feature authority, and user-visible controls | test_cancel_preempts_waiting_approval_without_external_write: durable cancel settlement and external Write 0",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0;4aed0a85;32295d97;09bf4501,PASS,"N/A — functional, safety, runtime, and proof chain closed",Targeted LangGraph E2E refresh at POST_E2E_FINAL_PRODUCT_SHA 09bf45013f0fb0572fce65de9bb7ef2f6e06ec99; Product source anchor 0ec4583efb9589cddaff4edfe5ede2bb899fd14e. Actual production composition/caller/durable fact/external-boundary proof re-resolved; no historical verdict promoted.
A-FUNC-013,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-013@165-174,FN-013 Run 재개.,src/google_work_agent/application/use_cases/run/resume_safe_checkpoint.py,ResumeSafeCheckpointHandler,src/google_work_agent/api/routes/runs.py,resume_safe_checkpoint,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx;tests/e2e/test_langgraph_real_production.py,"actual API consumers, terminal refresh, feature authority, and user-visible controls | test_restart_recreates_production_composition_and_resumes_durable_interrupt: new production composition resumes the persisted checkpoint",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0;4aed0a85;32295d97;09bf4501,PASS,"N/A — functional, safety, runtime, and proof chain closed",Targeted LangGraph E2E refresh at POST_E2E_FINAL_PRODUCT_SHA 09bf45013f0fb0572fce65de9bb7ef2f6e06ec99; Product source anchor 0ec4583efb9589cddaff4edfe5ede2bb899fd14e. Actual production composition/caller/durable fact/external-boundary proof re-resolved; no historical verdict promoted.
A-FUNC-014,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-014@175-187,FN-014 사이드바 목록 조회.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-015,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-015@188-198,FN-015 Frontend 페이지 메모리 캐시.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-016,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-016@199-209,FN-016 사용자 선택형 요청.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-017,A,Retrieval,docs/canonical/01-a-functional-definition.md,FN-017@210-221,FN-017 Agent 검색형 요청.,src/google_work_agent/application/agents/retrieval/execute_read.py,execute_read,src/google_work_agent/adapters/langgraph/subgraphs/retrieval/graph.py,RetrievalSubgraph,registry-validated READ binding -> ConnectorReadPort -> bounded evidence store -> typed RetrievalResultV1,"run-scoped evidence handles, source failure facts, revision/currentness and cache-loss restart handoff",context preview and evidence-backed answer/plan,tests/unit/application/agents/retrieval/test_execute_read.py,"binding/effect validation, bounded projection, source failure semantics, and typed result",UNCHECKED,N/A — no substantive finding,f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-018,A,Recovery and corrective planning,docs/canonical/01-a-functional-definition.md,FN-018@222-231,FN-018 Run 진행 Event 구독·복구.,src/google_work_agent/application/use_cases/recovery/resolve_recovery.py,ResolveRecoveryHandler,src/google_work_agent/api/routes/runs.py,resolve_recovery,reason-specific durable Recovery -> safe option guard -> verification/terminal/corrective planning continuation,"Recovery proof, resolution, corrective Plan lineage, workflow handoff and checkpoint target",RecoveryCard options and authoritative Run refresh,tests/unit/application/use_cases/recovery/test_resolve_recovery.py,"irrecoverability proof, UNKNOWN_RESULT safety, corrective lineage, and exact continuation target",UNCHECKED,N/A — no substantive finding,4684aa06;4e42dbdc;ba6ce026,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-019,A,Retrieval,docs/canonical/01-a-functional-definition.md,FN-020@275-285,FN-020 Retrieval Source 범위 확정.,src/google_work_agent/application/agents/retrieval/execute_read.py,execute_read,src/google_work_agent/adapters/langgraph/subgraphs/retrieval/graph.py,RetrievalSubgraph,registry-validated READ binding -> ConnectorReadPort -> bounded evidence store -> typed RetrievalResultV1,"run-scoped evidence handles, source failure facts, revision/currentness and cache-loss restart handoff",context preview and evidence-backed answer/plan,tests/unit/application/agents/retrieval/test_execute_read.py,"binding/effect validation, bounded projection, source failure semantics, and typed result",UNCHECKED,N/A — no substantive finding,f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-020,A,Retrieval,docs/canonical/01-a-functional-definition.md,FN-021@286-294,FN-021 Gmail 검색·조회.,src/google_work_agent/application/agents/retrieval/execute_read.py,execute_read,src/google_work_agent/adapters/langgraph/subgraphs/retrieval/graph.py,RetrievalSubgraph,registry-validated READ binding -> ConnectorReadPort -> bounded evidence store -> typed RetrievalResultV1,"run-scoped evidence handles, source failure facts, revision/currentness and cache-loss restart handoff",context preview and evidence-backed answer/plan,tests/unit/application/agents/retrieval/test_execute_read.py,"binding/effect validation, bounded projection, source failure semantics, and typed result",UNCHECKED,N/A — no substantive finding,f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-021,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-021A@295-305,FN-021A Gmail 첨부파일 조회·다운로드.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-022,A,Retrieval,docs/canonical/01-a-functional-definition.md,FN-022@306-314,FN-022 Tasks 검색·조회.,src/google_work_agent/application/agents/retrieval/execute_read.py,execute_read,src/google_work_agent/adapters/langgraph/subgraphs/retrieval/graph.py,RetrievalSubgraph,registry-validated READ binding -> ConnectorReadPort -> bounded evidence store -> typed RetrievalResultV1,"run-scoped evidence handles, source failure facts, revision/currentness and cache-loss restart handoff",context preview and evidence-backed answer/plan,tests/unit/application/agents/retrieval/test_execute_read.py,"binding/effect validation, bounded projection, source failure semantics, and typed result",UNCHECKED,N/A — no substantive finding,f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-023,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-023@315-324,FN-023 Calendar 조회·FreeBusy.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-024,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-024@325-332,FN-024 Context 정규화.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-025,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-025@333-340,FN-025 Chunking.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-026,A,Retrieval,docs/canonical/01-a-functional-definition.md,FN-026@341-351,FN-026 추가 Retrieval.,src/google_work_agent/application/agents/retrieval/execute_read.py,execute_read,src/google_work_agent/adapters/langgraph/subgraphs/retrieval/graph.py,RetrievalSubgraph,registry-validated READ binding -> ConnectorReadPort -> bounded evidence store -> typed RetrievalResultV1,"run-scoped evidence handles, source failure facts, revision/currentness and cache-loss restart handoff",context preview and evidence-backed answer/plan,tests/unit/application/agents/retrieval/test_execute_read.py,"binding/effect validation, bounded projection, source failure semantics, and typed result",FINDING,N/A — no substantive finding,f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-027,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-027@352-371,FN-027 사용자 확인 질문.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-028,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-028@372-375,FN-028 Embedding·Reranking.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-029,A,Resource browsing and detail,docs/canonical/01-a-functional-definition.md,FN-030@379-388,FN-030 Resource 관계 연결.,src/google_work_agent/application/use_cases/resource/get_resource_detail.py,GetResourceDetailHandler,src/google_work_agent/api/routes/resources.py,resource detail routes,typed resource list/detail route -> ConnectorReadPort -> normalized detail projection,read-only connector effect plus opaque continuation/selection identity,frontend/src/features/resource_browser/resource_viewer.tsx,frontend/tests/features/resource_browser/resource_viewer.test.tsx,"Gmail/Task/Calendar typed detail consumption, selection currentness, and no second fetch authority",UNCHECKED,N/A — no substantive finding,27872661;8367cb71,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-030,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-031@389-399,FN-031 Task 중복 검사.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-031,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-032@400-410,FN-032 Calendar 충돌 검사.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-032,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-033@411-422,FN-033 업무 가능성 판단.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-033,A,Planning,docs/canonical/01-a-functional-definition.md,FN-040@423-432,FN-040 Action Plan 생성.,src/google_work_agent/application/agents/planning/assemble_plan.py,assemble_plan,src/google_work_agent/adapters/langgraph/subgraphs/planning/graph.py,PlanningSubgraph,intent/route/analysis -> answer or typed Action plan -> domain validation -> persisted reviewed plan,"Plan/Action identity, dependencies, revision/based_on, review result and approval scope",answer terminal or ActionPlanCard approval surface,tests/unit/application/agents/planning/test_assemble_plan.py,"typed plan assembly, dependency/currentness, validation, and answer/action branching",FINDING,WF1-A-FIND-003,ba6ce026;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-034,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-041@433-442,FN-041 Action Dependency DAG 생성.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
